Event	ID	Name			Wwise Object Path	Notes
	64054188	Hero_Combat			\Default Work Unit\Hero_Combat	
	671786679	Geoff_Voice			\Voice Clips\Geoff_Voice	
	1181445569	Nilbog_Voice			\Voice Clips\Nilbog_Voice	
	1585661381	BackGround_Music			\Default Work Unit\BackGround_Music	
	1636882115	Gabbin_Voice			\Voice Clips\Gabbin_Voice	
	2067637633	Jeff_Voice			\Voice Clips\Jeff_Voice	
	2102311253	Goblenn_Voice			\Voice Clips\Goblenn_Voice	
	2698747613	Button_Press			\Default Work Unit\Button_Press	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	3055567	neh	C:\Users\racstadt\Documents\Dungeonomics\TeamBesterestGame\WWISE\Dungeonomics\.cache\Windows\SFX\nick\neh_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Nick_Sounds\nick\neh		79940
	16432662	unnh	C:\Users\racstadt\Documents\Dungeonomics\TeamBesterestGame\WWISE\Dungeonomics\.cache\Windows\SFX\nick\unnh_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Nick_Sounds\nick\unnh		95292
	108524988	eeeh	C:\Users\racstadt\Documents\Dungeonomics\TeamBesterestGame\WWISE\Dungeonomics\.cache\Windows\SFX\nick\eeeh_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Nick_Sounds\nick\eeeh		77092
	171965651	nehhh	C:\Users\racstadt\Documents\Dungeonomics\TeamBesterestGame\WWISE\Dungeonomics\.cache\Windows\SFX\nick\nehhh_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Nick_Sounds\nick\nehhh		77608
	177897640	Body_Clips	C:\Users\racstadt\Documents\Dungeonomics\TeamBesterestGame\WWISE\Dungeonomics\.cache\Windows\SFX\Body_Clips_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Body_Clips\Body_Clips		29506264
	213933606	ohhhnh	C:\Users\racstadt\Documents\Dungeonomics\TeamBesterestGame\WWISE\Dungeonomics\.cache\Windows\SFX\nick\ohhhnh_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Nick_Sounds\nick\ohhhnh		124580
	243024414	nnnnnnnnnnnnnnneh	C:\Users\racstadt\Documents\Dungeonomics\TeamBesterestGame\WWISE\Dungeonomics\.cache\Windows\SFX\nick\nnnnnnnnnnnnnnneh_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Nick_Sounds\nick\nnnnnnnnnnnnnnneh		140572
	385919720	gargle2	C:\Users\racstadt\Documents\Dungeonomics\TeamBesterestGame\WWISE\Dungeonomics\.cache\Windows\SFX\nick\gargle2_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Nick_Sounds\nick\gargle2		174808
	514974851	BUTTON_Click_Compressor_Small_01_stereo	C:\Users\racstadt\Documents\Dungeonomics\TeamBesterestGame\WWISE\Dungeonomics\.cache\Windows\SFX\BUTTON_Click_Compressor_Small_01_stereo_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Button_Click\BUTTON_Click_Compressor_Small_01_stereo		57892
	518377828	BUTTON_Click_Compressor_Small_02_stereo	C:\Users\racstadt\Documents\Dungeonomics\TeamBesterestGame\WWISE\Dungeonomics\.cache\Windows\SFX\BUTTON_Click_Compressor_Small_02_stereo_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Button_Click\BUTTON_Click_Compressor_Small_02_stereo		47392
	556135923	nyoinger	C:\Users\racstadt\Documents\Dungeonomics\TeamBesterestGame\WWISE\Dungeonomics\.cache\Windows\SFX\nick\nyoinger_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Nick_Sounds\nick\nyoinger		100952
	652342185	BATTLE_Medieval_Segment_01_stereo	C:\Users\racstadt\Documents\Dungeonomics\TeamBesterestGame\WWISE\Dungeonomics\.cache\Windows\SFX\BATTLE_Medieval_Segment_01_stereo_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Battle_Hero\BATTLE_Medieval_Segment_01_stereo		1241628
	653834363	BATTLE_Medieval_Segment_02_stereo	C:\Users\racstadt\Documents\Dungeonomics\TeamBesterestGame\WWISE\Dungeonomics\.cache\Windows\SFX\BATTLE_Medieval_Segment_02_stereo_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Battle_Hero\BATTLE_Medieval_Segment_02_stereo		851604
	686304453	nyah	C:\Users\racstadt\Documents\Dungeonomics\TeamBesterestGame\WWISE\Dungeonomics\.cache\Windows\SFX\nick\nyah_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Nick_Sounds\nick\nyah		95112
	698543523	Dungeonomics Trailer Score LOOP	C:\Users\racstadt\Documents\Dungeonomics\TeamBesterestGame\WWISE\Dungeonomics\.cache\Windows\SFX\Dungeonomics Trailer Score LOOP_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\Background Music\Main Theme LOOP\Dungeonomics Trailer Score LOOP		9405444
	698926266	meeeh	C:\Users\racstadt\Documents\Dungeonomics\TeamBesterestGame\WWISE\Dungeonomics\.cache\Windows\SFX\nick\meeeh_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Nick_Sounds\nick\meeeh		96468
